Character, Abs. Freq., Rel. Freq.
同,2,90909
壯,2,90909
女,2,90909
从,12,545455
數,2,90909
行,2,90909
」,6,272727
大,2,90909
聲,6,272727
尊,2,90909
終,2,90909
屬,2,90909
合,2,90909
壿,2,90909
》,4,181818
詩,4,181818
我,2,90909
舞,4,181818
事,2,90909
推,2,90909
孔,2,90909
士,18,818182
為,2,90909
讀,2,90909
一,6,272727
爿,2,90909
細,2,90909
胥,2,90909
壻,2,90909
爽,2,90909
「,6,272727
貳,2,90909
：,14,636364
墫,4,181818
《,4,181818
